𠻺	/a:˨/
情趣	/tsʰɪŋ˨˩ tsʰɵy˧/
情郎	/tsʰɪŋ˨˩ lɔ:ŋ˨˩/
情面	/tsʰɪŋ˨˩ mi:n˨/
情願	/tsʰɪŋ˨˩ jy:n˨/
情願	/tsʰɪŋ˨˩ jy:n˧˥/
惆	/tsʰɐu˨˩/
惆悵	/tsʰɐu˨˩ tsʰœ:ŋ˧/
惇	/tɵn˥/
惈	/kwɔ:˧˥/
惉	/tsi:m˥/
惋	/jy:n˧˥/, /wu:n˧˥/
惋惜	/wu:n˧˥ sɪk˥/
惌	/jy:n˧/
惎	/kei˨/
惏	/la:m˨˩/
惑	/wa:k˨/
惓	/kʰy:n˨˩/
惔	/tʰa:m˨˩/
惕	/tʰɪk˥/
惖	/tʰɪk˥/
惗	/nɐm˧˥/
惘	/mɔ:ŋ˩˧/
惙	/tsy:t˧/
惚	/fɐt˥/
惛	/fɐn˥/
惜	/sɛ:k˧/
惜	/sɪk˥/
惜一啖	/sɛ:k˧ jɐt˥ ta:m˨/
惜別	/sɪk˥ pi:t˨/
惜晒	/sɛ:k˧ sa:i˧/
惜晒你	/sɛ:k˧ sa:i˧ nei˩˧/, /sɛ:k˧ sa:i˧ lei˩˧/
惝	/tsʰɔ:ŋ˧˥/, /tʰɔ:ŋ˧˥/
惟	/wɐi˨˩/
惟有	/wɐi˨˩ jɐu˩˧/
惟獨是	/wɐi˨˩ tʊk˨ si:˨/
惠	/wɐi˨/
惡	/ŋɔ:k˧/
惡𠽤	/ŋɔ:k˧ kʰɪk˥/, /ɔ:k˧ kʰɪk˥/
惡	/ŋɔ:k˧/, /ɔ:k˧/, /wu:˥/, /wu:˧/
惡亨亨	/ŋɔ:k˧ hɐŋ˥ hɐŋ˥/
惡人	/ɔ:k˧ jɐn˨˩/, /ŋɔ:k˧ jɐn˨˩/
惡作	/ŋɔ:k˧ tsɔ:k˧/
惡作劇	/ɔ:k˧ tsɔ:k˧ kʰɛ:k˨/
惡俗	/ɔ:k˧ tsʊk˨/, /ŋɔ:k˧ tsʊk˨/
惡做	/ŋɔ:k˧ tsou˨/, /ɔ:k˧ tsou˨/
惡兆	/ɔ:k˧ si:u˨/, /ŋɔ:k˧ si:u˨/
惡劣	/ɔ:k˧ ly:t˧/, /ŋɔ:k˧ ly:t˧/, /ŋɔ:k˧ ly:t˨/
惡勢力	/ɔ:k˧ sɐi˧ lɪk˨/, /ŋɔ:k˧ sɐi˧ lɪk˨/
惡化	/ɔ:k˧ fa:˧/
惡名	/ɔ:k˧ mɪŋ˨˩/, /ŋɔ:k˧ mɪŋ˨˩/
惡名昭彰	/ɔ:k˧ mɪŋ˨˩ tsʰi:u˥ tsœ:ŋ˥/, /ŋɔ:k˧ mɪŋ˨˩ tsʰi:u˥ tsœ:ŋ˥/
惡哽	/ŋɔ:k˧ kʰɐŋ˧˥/, /ɔ:k˧ kʰɐŋ˧˥/
惡報	/ɔ:k˧ pou˧/, /ŋɔ:k˧ pou˧/
惡夢	/ɔ:k˧ mʊŋ˨/, /ŋɔ:k˧ mʊŋ˨/
惡婦	/ɔ:k˧ fu:˩˧/, /ŋɔ:k˧ fu:˩˧/
惡少	/ɔ:k˧ si:u˧/, /ŋɔ:k˧ si:u˧/
惡徒	/ɔ:k˧ tʰou˨˩/, /ŋɔ:k˧ tʰou˨˩/
惡念	/ɔ:k˧ ni:m˨/, /ŋɔ:k˧ li:m˨/
惡性	/ɔ:k˧ sɪŋ˧/
惡性循環	/ɔ:k˧ sɪŋ˧ tsʰɵn˨˩ wa:n˨˩/
惡意	/ɔ:k˧ ji:˧/, /ŋɔ:k˧ ji:˧/
惡感	/ɔ:k˧ kɐm˧˥/, /ŋɔ:k˧ kɐm˧˥/
惡戟	/ŋɔ:k˧ kʰɪk˥/, /ɔ:k˧ kʰɪk˥/
惡戰	/ɔ:k˧ tsi:n˧/, /ŋɔ:k˧ tsi:n˧/
惡揗揗	/ŋɔ:k˧ tʰɐn˨˩ tʰɐn˨˩/, /ɔ:k˧ tʰɐn˨˩ tʰɐn˨˩/
惡搞	/ŋɔ:k˧ ka:u˧˥/, /ɔ:k˧ ka:u˧˥/
惡搞	/ɔ:k˧ ka:u˧˥/, /ŋɔ:k˧ ka:u˧˥/
惡撠	/ŋɔ:k˧ kʰɪk˥/, /ɔ:k˧ kʰɪk˥/
惡攪	/ŋɔ:k˧ ka:u˧˥/, /ɔ:k˧ ka:u˧˥/
惡有惡報	/ɔ:k˧ jɐu˩˧ ɔ:k˧ pou˧/, /ŋɔ:k˧ jɐu˩˧ ŋɔ:k˧ pou˧/
惡果	/ɔ:k˧ kwɔ:˧˥/, /ŋɔ:k˧ kwɔ:˧˥/
惡棍	/ɔ:k˧ kwɐn˧/, /ŋɔ:k˧ kwɐn˧/
惡死	/ŋɔ:k˧ sei˧˥/
惡死睖瞪	/ŋɔ:k˧ sei˧˥ nɐŋ˨˩ tɐŋ˥/, /ŋɔ:k˧ sei˧˥ lɐŋ˨˩ tɐŋ˥/
惡死能登	/ŋɔ:k˧ sei˧˥ nɐŋ˨˩ tɐŋ˥/, /ŋɔ:k˧ sei˧˥ lɐŋ˨˩ tɐŋ˥/
惡毒	/ɔ:k˧ tʊk˨/, /ŋɔ:k˧ tʊk˨/
惡爺	/ŋɔ:k˧ jɛ:˥/
惡爺頭	/ŋɔ:k˧ jɛ:˥ tʰɐu˧˥/
惡犬	/ɔ:k˧ hy:n˧˥/, /ŋɔ:k˧ hy:n˧˥/
惡狗	/ŋɔ:k˧ kɐu˧˥/, /ɔ:k˧ kɐu˧˥/
惡狠狠	/ɔ:k˧ hɐn˧˥ hɐn˧˥/, /ŋɔ:k˧ hɐn˧˥ hɐn˧˥/
惡睇	/ŋɔ:k˧ tʰɐi˧˥/, /ɔ:k˧ tʰɐi˧˥/
惡瞓	/ŋɔ:k˧ fɐn˧/, /ɔ:k˧ fɐn˧/
惡神	/ɔ:k˧ sɐn˨˩/, /ŋɔ:k˧ sɐn˨˩/
惡罵	/ɔ:k˧ ma:˨/, /ŋɔ:k˧ ma:˨/
惡習	/ɔ:k˧ tsa:p˨/, /ŋɔ:k˧ tsa:p˨/
惡臭	/ɔ:k˧ tsʰɐu˧/, /ŋɔ:k˧ tsʰɐu˧/
惡行	/ŋɔ:k˧ ha:ŋ˨˩/, /ɔ:k˧ ha:ŋ˨˩/
惡補	/ŋɔ:k˧ pou˧˥/, /ɔ:k˧ pou˧˥/
惡言	/ɔ:k˧ ji:n˨˩/, /ŋɔ:k˧ ji:n˨˩/
惡講	/ŋɔ:k˧ kɔ:ŋ˧˥/, /ɔ:k˧ kɔ:ŋ˧˥/
惡貫滿盈	/ɔ:k˧ ku:n˧ mu:n˩˧ jɪŋ˨˩/, /ŋɔ:k˧ ku:n˧ mu:n˩˧ jɪŋ˨˩/
惡霸	/ɔ:k˧ pa:˧/
惡頂	/ŋɔ:k˧ tɪŋ˧˥/, /ɔ:k˧ tɪŋ˧˥/
惡骾	/ŋɔ:k˧ kʰɐŋ˧˥/, /ɔ:k˧ kʰɐŋ˧˥/
惡鬥	/ɔ:k˧ tɐu˧/
惡鬼	/ɔ:k˧ kwɐi˧˥/, /ŋɔ:k˧ kwɐi˧˥/
惡魔	/ɔ:k˧ mɔ:˥/, /ŋɔ:k˧ mɔ:˥/
惡鯁	/ŋɔ:k˧ kʰɐŋ˧˥/, /ɔ:k˧ kʰɐŋ˧˥/
惢	/sɔ:˧˥/
惦	/ti:m˧/
惦念	/ti:m˧ ni:m˨/, /ti:m˧ li:m˨/
惦掛	/ti:m˧ kwa:˧/
惦記	/ti:m˧ kei˧/
惰	/tɔ:˨/
惰性	/tɔ:˨ sɪŋ˧/
惰落	/tɔ:˨ lɔ:k˨/
惰落嚟	/tɔ:˨ lɔ:k˨ lei˨˩/
惰角	/tɔ:˨ kɔ:k˧/
惰角地方	/tɔ:˨ kɔ:k˧ tei˨ fɔ:ŋ˥/
惱	/nou˩˧/
惱人	/nou˩˧ jɐn˨˩/, /lou˩˧ jɐn˨˩/
惱怒	/nou˩˧ nou˨/, /lou˩˧ lou˨/
惱恨	/nou˩˧ hɐn˨/, /lou˩˧ hɐn˨/
惱火	/nou˩˧ fɔ:˧˥/, /lou˩˧ fɔ:˧˥/
惱羞成怒	/nou˩˧ sɐu˥ sɪŋ˨˩ nou˨/, /lou˩˧ sɐu˥ sɪŋ˨˩ lou˨/
惲	/wɐn˨/
想	/sœ:ŋ˧˥/
想像	/sœ:ŋ˧˥ tsœ:ŋ˨/
想像出	/sœ:ŋ˧˥ tsœ:ŋ˨ tsʰɵt˥/
想像力	/sœ:ŋ˧˥ tsœ:ŋ˨ lɪk˨/
想入非非	/sœ:ŋ˧˥ jɐp˨ fei˥ fei˥/
想出	/sœ:ŋ˧˥ tsʰɵt˥/
想唔…都幾難	/sœ:ŋ˧˥ m̩˨˩ tou˥ kei˧˥ na:n˨˩/, /sœ:ŋ˧˥ m̩˨˩ tou˥ kei˧˥ la:n˨˩/
想嘔	/sœ:ŋ˧˥ ŋɐu˧˥/, /sœ:ŋ˧˥ ɐu˧˥/
想必	/sœ:ŋ˧˥ pi:t˥/
想念	/sœ:ŋ˧˥ ni:m˨/, /sœ:ŋ˧˥ li:m˨/
想方設法	/sœ:ŋ˧˥ fɔ:ŋ˥ tsʰi:t˧ fa:t˧/
想法	/sœ:ŋ˧˥ fa:t˧/
想當然	/sœ:ŋ˧˥ tɔ:ŋ˥ ji:n˨˩/
想盡	/sœ:ŋ˧˥ tsɵn˨/
想要	/sœ:ŋ˧˥ ji:u˧/
想話	/sœ:ŋ˧˥ wa:˨/
想象	/sœ:ŋ˧˥ tsœ:ŋ˨/
想象力	/sœ:ŋ˧˥ tsœ:ŋ˨ lɪk˨/
想起	/sœ:ŋ˧˥ hei˧˥/
想…都唔得	/sœ:ŋ˧˥ tou˥ m̩˨˩ tɐk˥/
惴	/tsʰy:n˧/, /tsɵy˧/
惵	/ti:p˨/
惶	/wɔ:ŋ˨˩/
惶恐	/wɔ:ŋ˨˩ hʊŋ˧˥/
惶惶不可終日	/wɔ:ŋ˨˩ wɔ:ŋ˨˩ pɐt˥ hɔ:˧˥ tsʊŋ˥ jɐt˨/
惷	/tsʰɵn˧˥/
惸	/kʰɪŋ˨˩/
惹	/jɛ:˩˧/
惹事生非	/jɛ:˩˧ si:˨ sɐŋ˥ fei˥/
惹人厭	/jɛ:˩˧ jɐn˨˩ ji:m˧/
惹人注意	/jɛ:˩˧ jɐn˨˩ tsy:˧ ji:˧/
惹人注目	/jɛ:˩˧ jɐn˨˩ tsy:˧ mʊk˨/
惹人討厭	/jɛ:˩˧ jɐn˨˩ tʰou˧˥ ji:m˧/
惹味	/jɛ:˩˧ mei˨/
惹咗	/jɛ:˩˧ tsɔ:˧˥/
惹埋	/jɛ:˩˧ ma:i˨˩/
惹屎上身	/jɛ:˩˧ si:˧˥ sœ:ŋ˩˧ sɐn˥/
惹是生非	/jɛ:˩˧ si:˨ sɐŋ˥ fei˥/
惹爭議	/jɛ:˩˧ tsɐŋ˥ ji:˩˧/
惹畀	/jɛ:˩˧ pei˧˥/
惹痰	/jɛ:˩˧ tʰa:m˨˩/
惹禍	/jɛ:˩˧ wɔ:˨/
惹禍上身	/jɛ:˩˧ wɔ:˨ sœ:ŋ˩˧ sɐn˥/
惺	/sɪŋ˥/
惺忪	/sɪŋ˥ sʊŋ˥/
惻	/tsʰa:k˥/, /tsʰɐk˥/
惻隱	/tsʰɐk˥ jɐn˧˥/
惼	/pi:n˧˥/
惾	/tsʊŋ˥/
愀	/tsʰi:u˧˥/
愁	/sɐu˨˩/
愁悶	/sɐu˨˩ mu:n˨/
愃	/sy:n˥/
愅	/ka:k˧/
愆	/hi:n˥/
愈	/jy:˨/
愈來愈	/jy:˨ lɔ:i˨˩ jy:˨/
愈加	/jy:˨ ka:˥/
愈戰愈勇	/jy:˨ tsi:n˧ jy:˨ jʊŋ˩˧/
愉	/jy:˨˩/, /jy:˨/
愉快	/jy:˨˩ fa:i˧/
愊	/pɪk˥/
愍	/mɐn˩˧/
愎	/pɪk˥/
意	/ji:˧/
意下如何	/ji:˧ ha:˨ jy:˨˩ hɔ:˨˩/
意味	/ji:˧ mei˨/
意味住	/ji:˧ mei˨ tsy:˨/
意味深長	/ji:˧ mei˨ sɐm˥ tsʰœ:ŋ˨˩/
意圖	/ji:˧ tʰou˨˩/
意外	/ji:˧ ŋɔ:i˨/, /ji:˧ ɔ:i˨/
意志	/ji:˧ tsi:˧/
意志力	/ji:˧ tsi:˧ lɪk˨/
意念	/ji:˧ ni:m˨/, /ji:˧ li:m˨/
意思	/ji:˧ si:˧/
意想	/ji:˧ sœ:ŋ˧˥/
意料	/ji:˧ li:u˨/
意料中	/ji:˧ li:u˨ tsʊŋ˥/
意料之中	/ji:˧ li:u˨ tsi:˥ tsʊŋ˥/
意料之外	/ji:˧ li:u˨ tsi:˥ ŋɔ:i˨/, /ji:˧ li:u˨ tsi:˥ ɔ:i˨/
意料到	/ji:˧ li:u˨ tou˧˥/
意淫	/ji:˧ jɐm˨˩/
意猶未盡	/ji:˧ jɐu˨˩ mei˨ tsɵn˨/
意粉	/ji:˧ fɐn˧˥/
意義	/ji:˧ ji:˨/
意興	/ji:˧ hɪŋ˧/
意興闌珊	/ji:˧ hɪŋ˧ la:n˨˩ sa:n˥/
意見	/ji:˧ ki:n˧/
意識	/ji:˧ sɪk˥/
意識到	/ji:˧ sɪk˥ tou˧˥/
意識形態	/ji:˧ sɪk˥ jɪŋ˨˩ tʰa:i˧/
意識流	/ji:˧ sɪk˥ lɐu˨˩/
意頭	/ji:˧ tʰɐu˨˩/
意願	/ji:˧ jy:n˨/
愐	/mi:n˩˧/
愒	/kʰɐi˧/, /kʰɔ:i˧/
愓	/tɔ:ŋ˨/, /sœ:ŋ˥/
愔	/jɐm˥/, /jɐm˨˩/
愕	/ŋɔ:k˨/
愖	/sɐm˨˩/
愘	/kʰɔ:k˧/
愚	/jy:˨˩/
愚人	/jy:˨˩ jɐn˨˩/
愚人節	/jy:˨˩ jɐn˨˩ tsi:t˧/
愚公移山	/jy:˨˩ kʊŋ˥ ji:˨˩ sa:n˥/
愚勇	/jy:˨˩ jʊŋ˩˧/
愚夫愚婦	/jy:˨˩ fu:˥ jy:˨˩ fu:˩˧/
愚弄	/jy:˨˩ lʊŋ˨/
愚昧	/jy:˨˩ mu:i˨/
愚民	/jy:˨˩ mɐn˨˩/
愚笨	/jy:˨˩ pɐn˨/
愚蠢	/jy:˨˩ tsʰɵn˧˥/
愚鈍	/jy:˨˩ tɵn˨/
愛	/ŋɔ:i˧/, /ɔ:i˧/
愛上	/ɔ:i˧ sœ:ŋ˨/, /ŋɔ:i˧ sœ:ŋ˨/
愛不釋手	/ɔ:i˧ pɐt˥ sɪk˥ sɐu˧˥/, /ŋɔ:i˧ pɐt˥ sɪk˥ sɐu˧˥/
愛人	/ɔ:i˧ jɐn˨˩/, /ŋɔ:i˧ jɐn˨˩/
愛國	/ɔ:i˧ kwɔ:k˧/, /ŋɔ:i˧ kwɔ:k˧/
愛國主義	/ɔ:i˧ kwɔ:k˧ tsy:˧˥ ji:˨/, /ŋɔ:i˧ kwɔ:k˧ tsy:˧˥ ji:˨/
愛國人士	/ɔ:i˧ kwɔ:k˧ jɐn˨˩ si:˨/, /ŋɔ:i˧ kwɔ:k˧ jɐn˨˩ si:˨/
愛國心	/ɔ:i˧ kwɔ:k˧ sɐm˥/, /ŋɔ:i˧ kwɔ:k˧ sɐm˥/
愛國者	/ɔ:i˧ kwɔ:k˧ tsɛ:˧˥/, /ŋɔ:i˧ kwɔ:k˧ tsɛ:˧˥/
愛女	/ɔ:i˧ nɵy˩˧/, /ŋɔ:i˧ nɵy˩˧/, /ŋɔ:i˧ lɵy˩˧/, /ɔ:i˧ lɵy˩˧/
愛好	/ɔ:i˧ hou˧/, /ŋɔ:i˧ hou˧/
愛好者	/ɔ:i˧ hou˧ tsɛ:˧˥/, /ŋɔ:i˧ hou˧ tsɛ:˧˥/
愛妻	/ɔ:i˧ tsʰɐi˥/, /ŋɔ:i˧ tsʰɐi˥/
愛妾	/ɔ:i˧ tsʰi:p˧/, /ŋɔ:i˧ tsʰi:p˧/
愛子	/ɔ:i˧ tsi:˧˥/, /ŋɔ:i˧ tsi:˧˥/
愛家	/ɔ:i˧ ka:˥/, /ŋɔ:i˧ ka:˥/
愛屋及烏	/ɔ:i˧ ʊk˥ kʰɐp˨ wu:˥/, /ŋɔ:i˧ ŋʊk˥ kʰɐp˨ wu:˥/, /ŋɔ:i˧ ʊk˥ kʰɐp˨ wu:˥/
愛巢	/ɔ:i˧ tsʰa:u˨˩/, /ŋɔ:i˧ tsʰa:u˨˩/
愛心	/ɔ:i˧ sɐm˥/, /ŋɔ:i˧ sɐm˥/
愛恨	/ɔ:i˧ hɐn˨/, /ŋɔ:i˧ hɐn˨/
愛情	/ɔ:i˧ tsʰɪŋ˨˩/, /ŋɔ:i˧ tsʰɪŋ˨˩/
愛情觀	/ɔ:i˧ tsʰɪŋ˨˩ ku:n˥/, /ŋɔ:i˧ tsʰɪŋ˨˩ ku:n˥/
愛惜	/ŋɔ:i˧ sɛ:k˧/, /ɔ:i˧ sɛ:k˧/
愛惜	/ɔ:i˧ sɪk˥/, /ŋɔ:i˧ sɪk˥/
愛意	/ɔ:i˧ ji:˧/, /ŋɔ:i˧ ji:˧/
愛慕	/ɔ:i˧ mou˨/, /ŋɔ:i˧ mou˨/
愛憐	/ɔ:i˧ li:n˨˩/, /ŋɔ:i˧ li:n˨˩/
愛戀	/ɔ:i˧ ly:n˧˥/, /ŋɔ:i˧ ly:n˧˥/
愛戴	/ɔ:i˧ ta:i˧/, /ŋɔ:i˧ ta:i˧/
愛撫	/ɔ:i˧ fu:˧˥/, /ŋɔ:i˧ fu:˧˥/
愛滋病	/ɔ:i˧ tsi:˥ pɛ:ŋ˨/, /ŋɔ:i˧ tsi:˥ pɛ:ŋ˨/
愛滋病人	/ɔ:i˧ tsi:˥ pɛ:ŋ˨ jɐn˨˩/, /ŋɔ:i˧ tsi:˥ pɛ:ŋ˨ jɐn˨˩/
愛犬	/ɔ:i˧ hy:n˧˥/, /ŋɔ:i˧ hy:n˧˥/
愛玩	/ɔ:i˧ wa:n˧˥/, /ŋɔ:i˧ wa:n˧˥/
愛理不理	/ɔ:i˧ lei˩˧ pɐt˥ lei˩˧/, /ŋɔ:i˧ lei˩˧ pɐt˥ lei˩˧/
愛神	/ɔ:i˧ sɐn˨˩/, /ŋɔ:i˧ sɐn˨˩/
愛管閑事	/ɔ:i˧ ku:n˧˥ ha:n˨˩ si:˨/, /ŋɔ:i˧ ku:n˧˥ ha:n˨˩ si:˨/
愛管閒事	/ɔ:i˧ ku:n˧˥ ha:n˨˩ si:˨/, /ŋɔ:i˧ ku:n˧˥ ha:n˨˩ si:˨/
愛莫能助	/ɔ:i˧ mɔ:k˨ nɐŋ˨˩ tsɔ:˨/, /ŋɔ:i˧ mɔ:k˨ nɐŋ˨˩ tsɔ:˨/, /ɔ:i˧ mɔ:k˨ lɐŋ˨˩ tsɔ:˨/, /ŋɔ:i˧ mɔ:k˨ lɐŋ˨˩ tsɔ:˨/
愛護	/ɔ:i˧ wu:˨/, /ŋɔ:i˧ wu:˨/
愛錫	/ŋɔ:i˧ sɛ:k˧/, /ɔ:i˧ sɛ:k˧/
愛靚唔愛命	/ɔ:i˧ lɛ:ŋ˧ m̩˨˩ ɔ:i˧ mɛ:ŋ˨/, /ŋɔ:i˧ lɛ:ŋ˧ m̩˨˩ ŋɔ:i˧ mɛ:ŋ˨/
愜	/hi:p˧/, /hi:p˨/
愜意	/hi:p˨ ji:˧/
愞	/nɔ:˨/
感	/kɐm˧˥/
感人	/kɐm˧˥ jɐn˨˩/
感人肺腑	/kɐm˧˥ jɐn˨˩ fɐi˧ fu:˧˥/
感傷	/kɐm˧˥ sœ:ŋ˥/
感光	/kɐm˧˥ kwɔ:ŋ˥/
感冒	/kɐm˧˥ mou˨/
感冒藥	/kɐm˧˥ mou˨ jœ:k˨/
感到	/kɐm˧˥ tou˧˥/
感動	/kɐm˧˥ tʊŋ˨/
感化	/kɐm˧˥ fa:˧/
感化院	/kɐm˧˥ fa:˧ jy:n˨/
感受	/kɐm˧˥ sɐu˨/
感召	/kɐm˧˥ tsi:u˨/
感召力	/kɐm˧˥ tsi:u˨ lɪk˨/
感同身受	/kɐm˧˥ tʰʊŋ˨˩ sɐn˥ sɐu˨/
感嘆	/kɐm˧˥ tʰa:n˧/
感嘆詞	/kɐm˧˥ tʰa:n˧ tsʰi:˨˩/
感官	/kɐm˧˥ ku:n˥/
感性	/kɐm˧˥ sɪŋ˧/
感恩節	/kɐm˧˥ jɐn˥ tsi:t˧/
感恩荷德	/kɐm˧˥ jɐn˥ hɔ:˨ tɐk˥/
感悟	/kɐm˧˥ ŋ˨/
感情	/kɐm˧˥ tsʰɪŋ˨˩/
感情用事	/kɐm˧˥ tsʰɪŋ˨˩ jʊŋ˨ si:˨/
感想	/kɐm˧˥ sœ:ŋ˧˥/
感慨	/kɐm˧˥ kʰɔ:i˧/
感慨萬千	/kɐm˧˥ kʰɔ:i˧ ma:n˨ tsʰi:n˥/
感應	/kɐm˧˥ jɪŋ˧/
感染	/kɐm˧˥ ji:m˩˧/
感染力	/kɐm˧˥ ji:m˩˧ lɪk˨/
感歎	/kɐm˧˥ tʰa:n˧/
感歎詞	/kɐm˧˥ tʰa:n˧ tsʰi:˨˩/
感激	/kɐm˧˥ kɪk˥/
感激不盡	/kɐm˧˥ kɪk˥ pɐt˥ tsɵn˨/
感激萬分	/kɐm˧˥ kɪk˥ ma:n˨ fɐn˥/
感興趣	/kɐm˧˥ hɪŋ˧ tsʰɵy˧/
感荷	/kɐm˧˥ hɔ:˨/
感覺	/kɐm˧˥ kɔ:k˧/
感觸	/kɐm˧˥ tsʰʊk˥/
感謝	/kɐm˧˥ tsɛ:˨/
愢	/sɔ:i˥/
愣	/lɪŋ˨/
愣住	/lɪŋ˨ tsy:˨/
愦	/kʰu:i˧˥/
愧	/kʰwɐi˧/, /kʰwɐi˩˧/
愧悔	/kʰwɐi˩˧ fu:i˧/
愨	/kʰɔ:k˧/
愫	/sou˧/
愬	/sou˧/
愮	/ji:u˨˩/
愰	/ji:u˨/
愲	/kwɐt˥/
愴	/tsʰɔ:ŋ˧/
愷	/hɔ:i˧˥/
愻	/sɵn˧/
愼	/sɐn˨/
愾	/kʰɔ:i˧/
慁	/wɐn˨/
慂	/jʊŋ˩˧/
慄	/lɵt˨/
慅	/tsʰou˧˥/, /sou˥/
慆	/tʰou˥/
慇	/jɐn˥/
慈	/tsʰi:˨˩/
慈善	/tsʰi:˨˩ si:n˨/
慈善事業	/tsʰi:˨˩ si:n˨ si:˨ ji:p˨/
慈善家	/tsʰi:˨˩ si:n˨ ka:˥/
慈善機構	/tsʰi:˨˩ si:n˨ kei˥ kʰɐu˧/
慈善活動	/tsʰi:˨˩ si:n˨ wu:t˨ tʊŋ˨/
慈心	/tsʰi:˨˩ sɐm˥/
慈悲	/tsʰi:˨˩ pei˥/
慈愛	/tsʰi:˨˩ ɔ:i˧/, /tsʰi:˨˩ ŋɔ:i˧/
慈母	/tsʰi:˨˩ mou˩˧/
慈祥	/tsʰi:˨˩ tsʰœ:ŋ˨˩/
慉	/tsʰʊk˥/, /tsʊk˨/
慊	/hi:m˧/, /hi:p˧/
態	/tʰa:i˧/
態度	/tʰa:i˧ tou˨/
慌	/fɔ:ŋ˥/
慌亂	/fɔ:ŋ˥ ly:n˨/
慌叫	/fɔ:ŋ˥ ki:u˧/
慌失失	/fɔ:ŋ˥ sɐt˥ sɐt˥/
慌張	/fɔ:ŋ˥ tsœ:ŋ˥/
慌忙	/fɔ:ŋ˥ mɔ:ŋ˨˩/
慌怕	/fɔ:ŋ˥ pʰa:˧/
慌慌	/fɔ:ŋ˥ fɔ:ŋ˥/
慌晒	/fɔ:ŋ˥ sa:i˧/
慍	/wɐn˧/
慍怒	/wɐn˧ nou˨/, /wɐn˧ lou˨/
慍色	/wɐn˧ sɪk˥/
慎	/sɐn˨/
慎重	/sɐn˨ tsʊŋ˨/
慒	/tsʰʊŋ˨˩/
慓	/pʰi:u˩˧/
慕	/mou˨/
慘	/tsʰa:m˧˥/
慘不忍睹	/tsʰa:m˧˥ pɐt˥ jɐn˧˥ tou˧˥/
慘兮兮	/tsʰa:m˧˥ hɐi˨˩ hɐi˨˩/
慘劇	/tsʰa:m˧˥ kʰɛ:k˨/
慘叫	/tsʰa:m˧˥ ki:u˧/
慘境	/tsʰa:m˧˥ kɪŋ˧˥/
慘敗	/tsʰa:m˧˥ pa:i˨/
慘案	/tsʰa:m˧˥ ɔ:n˧/
慘歷	/tsʰa:m˧˥ lɪk˨/
慘死	/tsʰa:m˧˥ sei˧˥/
慘烈	/tsʰa:m˧˥ li:t˨/
慘無人道	/tsʰa:m˧˥ mou˨˩ jɐn˨˩ tou˨/
慘然	/tsʰa:m˧˥ ji:n˨˩/
慘狀	/tsʰa:m˧˥ tsɔ:ŋ˨/
慘痛	/tsʰa:m˧˥ tʰʊŋ˧/
慘白	/tsʰa:m˧˥ pa:k˨/
慘相	/tsʰa:m˧˥ sœ:ŋ˧/
慘禍	/tsʰa:m˧˥ wɔ:˨/
慘絕人寰	/tsʰa:m˧˥ tsy:t˨ jɐn˨˩ wa:n˨˩/
慘苦	/tsʰa:m˧˥ fu:˧˥/
慘變	/tsʰa:m˧˥ pi:n˧/
慘跌	/tsʰa:m˧˥ ti:t˧/
慘遭	/tsʰa:m˧˥ tsou˥/
慘遭橫禍	/tsʰa:m˧˥ tsou˥ wa:ŋ˨ wɔ:˨/
慘遭殺害	/tsʰa:m˧˥ tsou˥ sa:t˧ hɔ:i˨/
慘遭毒害	/tsʰa:m˧˥ tsou˥ tʊk˨ hɔ:i˨/
慘遭毒手	/tsʰa:m˧˥ tsou˥ tʊk˨ sɐu˧˥/
慘酷	/tsʰa:m˧˥ hʊk˨/
慘重	/tsʰa:m˧˥ tsʊŋ˨/
慙	/tsʰa:m˨˩/
慚	/tsʰa:m˨˩/
慚愧	/tsʰa:m˨˩ kʰwɐi˩˧/
慝	/nɪk˥/, /tʰɪk˥/
慞	/tsœ:ŋ˥/
慟	/tʊŋ˨/
慢	/ma:n˨/
慢下手	/ma:n˧˥ ha:˩˧ sɐu˧˥/
慢住	/ma:n˨ tsy:˨/
慢動作	/ma:n˨ tʊŋ˨ tsɔ:k˧/
慢半拍	/ma:n˨ pu:n˧ pʰa:k˧/
慢吞吞	/ma:n˨ tʰɐn˥ tʰɐn˥/
慢性	/ma:n˨ sɪŋ˧/
慢性病	/ma:n˨ sɪŋ˧ pɪŋ˨/
慢慢	/ma:n˨ ma:n˥/
慢慢傾	/ma:n˨ ma:n˥ kʰɪŋ˥/
慢慢吞吞	/ma:n˨ ma:n˨ tʰɐn˥ tʰɐn˥/
慢慢行	/ma:n˨ ma:n˥ ha:ŋ˨˩/
慢慢講	/ma:n˨ ma:n˥ kɔ:ŋ˧˥/
慢慢食	/ma:n˨ ma:n˥ sɪk˨/
慢手慢腳	/ma:n˨ sɐu˧˥ ma:n˨ kœ:k˧/
慢走	/ma:n˨ tsɐu˧˥/
慢跑	/ma:n˨ pʰa:u˧˥/
慢車	/ma:n˨ tsʰɛ:˥/
慢車道	/ma:n˨ tsʰɛ:˥ tou˨/
慢速	/ma:n˨ tsʰʊk˥/
慢速度	/ma:n˨ tsʰʊk˥ tou˨/
慢鏡頭	/ma:n˨ kɛ:ŋ˧ tʰɐu˨˩/
慣	/kwa:n˧/
慣例	/kwa:n˧ lɐi˨/
慣咗	/kwa:n˧ tsɔ:˧˥/
